aroma,number_of_bags,total_cup_points,country_of_origin,farm_name
7.75,38,85.0,Kenya,machure estate
8.0,31,85.0,Brazil,sitío são geraldo
7.92,1,85.0,Mexico,kassandra
7.75,15,85.0,United States (Hawaii),kona pacific farmers cooperative
7.83,275,85.0,Guatemala,la igualdad
7.75,50,84.75,Thailand,matsuzawa coffee
7.92,150,84.75,Kenya,karatina
7.83,275,84.75,Honduras,cerro bueno
7.75,250,84.75,El Salvador,several
7.83,2,84.75,Nicaragua,santa martha
7.83,150,84.67,El Salvador,monterrey
8.17,250,83.67,Guatemala,finca quequesquez
7.67,250,83.67,Guatemala,agropecuaria quiagral
7.67,48,83.67,Mexico,finca apoxtla
8.17,10,83.67,Indonesia,"ijen highland, east java"
7.67,250,83.67,Guatemala,finca medina
