PLAZO;PRESTAMOS_ANTERIORES;SCORE_VERAZ;ESTADO_CIVIL;DEUDA_SIST_FIN;INGRESOS_PERSONALES;dias_mora
48;3;801.0;;153878.4372;212512.5937;0
18;1;;Soltero;22306.1275;130572.4536;0
47;5;446.0;Soltero;29200.0;230000.0;0
48;4;;Soltero;81159.60888;105732.663;0
24;3;153.0;Soltero;16527.33398;112860.6895;0
48;2;;CASADO;372222.1682;244823.3506;0
20;1;729.0;Soltero;17773.78057;80368.39907999999;0
32;2;661.0;Soltero;22645.18689;75970.94958;0
48;1;926.0;Soltero;68152.54549;132592.501;0
24;1;;Soltero;18086.498509999998;32884.54275;0
46;4;679.0;;101012.3009;326431.1341;0
36;1;384.0;CASADO;129812.1163;150589.6797;0
48;1;701.0;Soltero;62134.47814;93461.33202;0
36;1;926.0;Soltero;217625.2821;137344.2802;0
26;1;302.0;DIVORCIADO;57764.78684;77277.30681000001;0
48;2;566.0;Soltero;33720.62744;89424.86835;0
18;1;601.0;CASADO;14158.93749;55890.542720000005;0
48;4;670.0;CASADO;98585.91815;178247.6476;0
36;3;336.0;Soltero;19695.4899;123691.8494;0
36;1;789.0;Soltero;11787.79095;143629.699;0
24;1;524.0;Soltero;28905.165210000003;63644.400460000004;0
36;1;688.0;CASADO;114467.2186;91497.52692999999;0
14;1;;;30779.15872;77177.59201000001;0
18;1;596.0;Soltero;53128.14843;67617.64346;0
36;2;638.0;Soltero;108241.3511;93150.90453;0
48;2;798.0;CASADO;184326.5159;143307.3758;0
9;1;750.0;Soltero;29612.32522;37125.90027;0
12;1;850.0;DIVORCIADO;40542.189439999995;98616.13647;0
24;1;465.0;Soltero;87806.33986000001;135235.2869;0
48;1;703.0;CASADO;62523.31007000001;150970.9194;0
48;1;;DIVORCIADO;56672.07189;76167.26462;0
48;2;;Soltero;20968.18325;175761.0306;0
24;1;;Soltero;15200.0;100000.0;0
40;2;639.0;Soltero;57100.0;100000.0;0
48;1;843.0;CASADO;99086.3196;95192.09743;0
48;4;427.0;CASADO;67022.4483;98616.13647;0
24;1;478.0;Soltero;72435.54215;102934.7178;0
48;1;745.0;CASADO;366371.3474;560986.5872;0
24;1;;Soltero;45132.18299;199717.2523;0
34;1;357.0;Soltero;49059.225360000004;79120.59717000001;0
48;1;833.0;CASADO;44838.481139999996;78320.49107999999;0
12;1;824.0;Soltero;15923.04175;47596.04871;0
48;1;;Soltero;46353.69457;110365.9395;0
42;1;;Soltero;38537.00889;72540.25202;0
36;1;760.0;Soltero;21531.51015;106322.2633;0
47;2;794.0;Soltero;66427.85598;59983.52705;0
24;1;585.0;Soltero;33317.2341;398076.0438;0
34;4;810.0;Soltero;40794.52132;106278.3121;0
47;1;;Soltero;30961.977769999998;44064.48588;0
36;3;;CASADO;87294.4171;141874.2917;0
48;1;;;168202.7094;0.0;0
24;1;335.0;Soltero;161536.0129;234961.4732;0
34;2;694.0;CASADO;59719.37445;65593.41128;0
48;1;666.0;Soltero;65400.0;98000.0;0
48;3;854.0;CASADO;316630.8923;141432.001;0
