PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,MORA>90,BUEN_SCORE
48,2,BAD,SOLTERO,33720.62744,89424.86835,0,0
18,1,BAD,CASADO,14158.93749,55890.542720000005,0,0
18,1,BAD,SOLTERO,53128.14843,67617.64346,0,0
36,2,BAD,SOLTERO,108241.3511,93150.90453,0,0
40,2,BAD,SOLTERO,57100.0,100000.0,0,0
24,1,BAD,SOLTERO,33317.2341,398076.0438,0,0
48,1,BAD,CASADO,53951.81244,58938.95477,0,0
12,1,BAD,CASADO,76300.0,210000.0,0,0
12,2,BAD,SOLTERO,19623.69014,127288.8009,0,0
24,1,BAD,CASADO,16607.63767,32547.63162,0,0
18,1,BAD,SOLTERO,23446.24128,57185.95432999999,0,0
24,1,BAD,SOLTERO,35181.21026,53811.34059,0,0
24,4,BAD,DIVORCIADO,79714.71031000001,63917.86622999999,0,0
24,2,BAD,CASADO,16524.1822,100146.5588,0,0
18,1,BAD,CASADO,33453.78328,68623.1452,0,0
12,3,BAD,SOLTERO,13347.6451,95466.60069,0,0
36,3,BAD,SOLTERO,92539.5749,135235.2869,0,0
36,5,BAD,SOLTERO,51922.962230000005,146249.677,0,0
48,2,BAD,DIVORCIADO,31019.25121,116252.3289,0,0
24,6,BAD,SOLTERO,41722.4403,265185.0019,0,0
48,1,BAD,DIVORCIADO,133830.031,114913.5008,0,0
48,1,BAD,CASADO,31010.95774,68913.23942,0,0
18,1,BAD,DIVORCIADO,46495.77034,114913.5008,0,0
36,1,BAD,CASADO,17400.0,48000.0,0,0
12,1,BAD,SOLTERO,12728.88009,125520.9009,0,0
34,11,BAD,CASADO,38937.07809,71726.19649,0,0
18,4,BAD,CASADO,84425.45769,164214.277,0,0
24,2,BAD,SOLTERO,34096.07853,50971.041260000005,0,0
6,5,BAD,SOLTERO,54329.508160000005,208304.8423,0,0
19,3,BAD,SOLTERO,27758.96955,176986.7186,0,0
