PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,MORA>90,BUEN_SCORE
48,3,EXCELLENT,SOLTERO,153878.4372,212512.5937,0,1
36,1,EXCELLENT,SOLTERO,11787.79095,143629.699,0,1
48,2,EXCELLENT,CASADO,184326.5159,143307.3758,0,1
12,1,EXCELLENT,DIVORCIADO,40542.18944,98616.13647,0,1
48,1,EXCELLENT,CASADO,99086.3196,95192.09743,0,1
48,1,EXCELLENT,CASADO,44838.48114,78320.49107999999,0,1
12,1,EXCELLENT,SOLTERO,15923.04175,47596.04871,0,1
36,1,EXCELLENT,SOLTERO,21531.51015,106322.2633,0,1
47,2,EXCELLENT,SOLTERO,66427.85598,59983.52705,0,1
34,4,EXCELLENT,SOLTERO,40794.52132,106278.3121,0,1
12,2,EXCELLENT,SOLTERO,36408.39092,64810.74824,0,1
24,1,EXCELLENT,SOLTERO,70182.69382999999,117877.9095,0,1
48,1,EXCELLENT,SOLTERO,47151.163810000005,123771.805,0,1
48,1,EXCELLENT,SOLTERO,46500.0,57600.0,0,1
24,1,EXCELLENT,DIVORCIADO,90704.23887,115915.9602,0,1
13,1,EXCELLENT,SOLTERO,60639.53657999999,134142.0052,0,1
12,2,EXCELLENT,CASADO,144536.4522,194951.9273,0,1
15,1,EXCELLENT,SOLTERO,8383.581408,87561.85026,0,1
43,1,EXCELLENT,SOLTERO,32698.80503,46393.14289,0,1
16,1,EXCELLENT,DIVORCIADO,52159.66605,41727.73284,0,1
29,1,EXCELLENT,SOLTERO,39062.34493,73425.46039,0,1
48,1,EXCELLENT,SOLTERO,30820.7105,65402.0382,0,1
48,1,EXCELLENT,CASADO,19347.91455,74341.74063,0,1
12,1,EXCELLENT,SOLTERO,13400.0,50000.0,0,1
22,7,EXCELLENT,CASADO,126193.8913,528663.3148,0,1
18,4,EXCELLENT,CASADO,106528.6109,159836.1854,0,1
15,1,EXCELLENT,DIVORCIADO,27795.86623,126552.9439,0,1
12,1,EXCELLENT,SOLTERO,88502.15492,120417.755,0,1
20,3,EXCELLENT,DIVORCIADO,66458.48386000001,131854.4047,0,1
26,1,EXCELLENT,SOLTERO,33419.91291,79988.64402,0,1
12,1,EXCELLENT,SOLTERO,17108.37046,62591.59926,0,1
48,8,EXCELLENT,CASADO,153057.3241,157571.4302,0,1
48,5,EXCELLENT,CASADO,105097.1373,316264.1399,0,1
12,1,EXCELLENT,DIVORCIADO,9180.101225,90131.90293,0,1
48,8,EXCELLENT,CASADO,31228.44322,109573.485,0,1
48,8,EXCELLENT,SOLTERO,303013.9267,192943.98,0,1
37,3,EXCELLENT,CASADO,70797.70635,159417.4681,0,1
16,5,EXCELLENT,CASADO,76792.75071000001,155229.1037,0,1
36,1,EXCELLENT,SOLTERO,113564.7121,226638.9421,0,1
48,3,EXCELLENT,SOLTERO,16182.65656,138461.2326,0,1
36,1,EXCELLENT,SOLTERO,35074.05199,329772.3366,0,1
30,4,EXCELLENT,SOLTERO,9594.260158,93984.5893,0,1
24,1,EXCELLENT,SOLTERO,59057.67347,186301.8091,0,1
6,1,EXCELLENT,SOLTERO,52451.972,77277.30681000001,0,1
36,2,EXCELLENT,SOLTERO,7350.246857999999,183756.1715,0,1
24,1,EXCELLENT,SOLTERO,51679.19893,79788.81928,0,1
17,1,EXCELLENT,SOLTERO,32019.16004,86538.27038999999,0,1
48,3,EXCELLENT,CASADO,69300.0,87000.0,0,1
