PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,MORA>90,BUEN_SCORE
32,2,FAIR,SOLTERO,22645.18689,75970.94958,0,0
46,4,FAIR,SOLTERO,101012.3009,326431.1341,0,0
48,4,FAIR,CASADO,98585.91815,178247.6476,0,0
36,1,FAIR,CASADO,114467.2186,91497.52693,0,0
34,2,FAIR,CASADO,59719.37445,65593.41128,0,0
48,1,FAIR,SOLTERO,65400.0,98000.0,0,0
16,1,FAIR,SOLTERO,14143.19076,67037.08915,0,0
36,4,FAIR,CASADO,58165.258270000006,65744.09098,0,0
15,1,FAIR,SOLTERO,4533.765751,36270.12601,0,0
12,1,FAIR,DIVORCIADO,19729.15424,102934.7178,0,0
12,1,FAIR,SOLTERO,7545.223267,78246.7598,0,0
48,1,FAIR,SOLTERO,14883.73171,98616.13647,0,0
24,1,FAIR,CASADO,170128.2141,428894.6575,0,0
24,1,FAIR,SOLTERO,14489.495030000002,67617.64346,0,0
48,1,FAIR,CASADO,77256.15762,820036.0982,0,0
12,4,FAIR,SOLTERO,25211.72135,164214.277,0,0
33,1,FAIR,SOLTERO,13629.319119999998,80060.33606,0,0
30,8,FAIR,CASADO,136903.5438,366922.2665,0,0
18,1,FAIR,SOLTERO,110336.2948,112499.7515,0,0
13,1,FAIR,SOLTERO,22306.1275,53407.76055,0,0
18,1,FAIR,SOLTERO,8048.059146,57980.64116,0,0
44,1,FAIR,SOLTERO,45271.3396,80109.77789,0,0
36,1,FAIR,CASADO,131500.0,177000.0,0,0
48,1,FAIR,SOLTERO,67296.38202,153402.87900000002,0,0
11,1,FAIR,SOLTERO,31998.99023,113725.472,0,0
6,5,FAIR,SOLTERO,23284.36556,236722.5569,0,0
15,1,FAIR,SOLTERO,24654.03412,95876.79934,0,0
15,1,FAIR,DIVORCIADO,29493.5297,91311.23747,0,0
48,3,FAIR,CASADO,16691.09314,126852.3078,0,0
48,6,FAIR,SOLTERO,167578.5751,158565.3848,0,0
48,4,FAIR,CASADO,85869.52333,73900.38175,0,0
25,4,FAIR,SOLTERO,76695.57296,275403.0367,0,0
48,4,FAIR,SOLTERO,43780.92513,139726.3568,0,0
24,3,FAIR,SOLTERO,37189.7039,144894.9503,0,0
48,6,FAIR,CASADO,170931.9098,409863.9799,0,0
30,1,FAIR,CASADO,6000.0,100000.0,0,0
36,1,FAIR,SOLTERO,88400.0,199800.0,0,0
48,1,FAIR,CASADO,67068.65126,122959.194,0,0
24,2,FAIR,SOLTERO,125552.9515,164360.2274,0,0
48,7,FAIR,SOLTERO,65019.33136,228219.7161,0,0
48,6,FAIR,SOLTERO,107841.9008,163530.7512,0,0
24,4,FAIR,SOLTERO,94726.30639,169974.4586,0,0
12,3,FAIR,SOLTERO,54517.27646,166792.3668,0,0
7,6,FAIR,SOLTERO,12966.19572,132949.1618,0,0
48,5,FAIR,CASADO,74313.0659,188030.8598,0,0
45,2,FAIR,SOLTERO,90398.1251,160349.8379,0,0
12,1,FAIR,SOLTERO,34388.40153,94664.70084,0,0
18,7,FAIR,CASADO,109079.4308,123753.0009,0,0
12,4,FAIR,CASADO,88182.49753,155768.8867,0,0
18,1,FAIR,SOLTERO,90728.98101,223562.1709,0,0
24,1,FAIR,SOLTERO,25620.82796,91801.01225,0,0
24,1,FAIR,SOLTERO,29736.69625,61951.450520000006,0,0
25,1,FAIR,CASADO,39987.81393,287259.398,0,0
48,3,FAIR,DIVORCIADO,58163.91042000001,123753.0009,0,0
6,6,FAIR,SOLTERO,108967.4097,131385.6626,0,0
48,3,FAIR,CASADO,152787.9058,235755.8191,0,0
18,4,FAIR,CASADO,300995.11,200920.9977,0,0
25,2,FAIR,SOLTERO,39201.83649,173076.5408,0,0
12,2,FAIR,SOLTERO,18600.0,125000.0,0,0
12,1,FAIR,SOLTERO,47876.56633,235755.8191,0,0
8,6,FAIR,CASADO,32189.73683,190418.1616,0,0
48,3,FAIR,SOLTERO,62523.31007000001,129592.9035,0,0
17,4,FAIR,DIVORCIADO,29769.16501,124615.1094,0,0
48,1,FAIR,CASADO,30634.54772,67499.8509,0,0
48,1,FAIR,SOLTERO,91585.17118,109573.485,0,0
17,5,FAIR,CASADO,36383.72195,137817.1286,0,0
24,1,FAIR,SOLTERO,23287.726130000003,132274.2844,0,0
36,1,FAIR,CASADO,33236.52024,141432.001,0,0
36,4,FAIR,SOLTERO,47481.84348,164360.2274,0,0
12,3,FAIR,CASADO,93690.88746,125312.7857,0,0
46,6,FAIR,CASADO,68263.37737,91562.85347,0,0
14,4,FAIR,SOLTERO,21063.49318,142964.8858,0,0
16,3,FAIR,CASADO,100990.1615,165374.6347,0,0
48,1,FAIR,CASADO,8251.453667,90675.31503,0,0
36,1,FAIR,SOLTERO,36125.32651,391602.4554,0,0
34,1,FAIR,SOLTERO,20438.13694,58453.07164,0,0
48,1,FAIR,SOLTERO,29500.0,85000.0,0,0
24,1,FAIR,SOLTERO,7258.368773,91878.08573,0,0
36,1,FAIR,SOLTERO,38537.00889,195677.3298,0,0
6,1,FAIR,SOLTERO,26662.88134,173491.3512,0,0
6,1,FAIR,SOLTERO,22915.12251,84767.32312,0,0
30,1,FAIR,SOLTERO,33900.0,58500.0,0,0
6,1,FAIR,CASADO,41347.94365,188604.6553,0,0
24,1,FAIR,SOLTERO,26295.84136,81607.78352000001,0,0
5,1,FAIR,SOLTERO,23472.98194,48684.70329,0,0
48,1,FAIR,SOLTERO,87628.23896,292094.1299,0,0
24,1,FAIR,SOLTERO,28993.560210000003,254577.6019,0,0
48,2,FAIR,CASADO,93576.92511,200392.4462,0,0
12,1,FAIR,SOLTERO,10388.7817,47654.96194,0,0
36,1,FAIR,SOLTERO,43408.32151,139726.3568,0,0
15,3,FAIR,SOLTERO,78494.76057,190933.2014,0,0
24,1,FAIR,DIVORCIADO,59229.87138,198738.2461,0,0
48,2,FAIR,CASADO,53096.01558,134137.3025,0,0
46,7,FAIR,DIVORCIADO,149800.0,130000.0,0,0
25,4,FAIR,CASADO,401670.3218,133528.7451,0,0
24,1,FAIR,SOLTERO,6054.808794,60548.08794,0,0
36,1,FAIR,SOLTERO,15522.91037,70766.20904,0,0
30,1,FAIR,CASADO,61615.24852000001,164422.7137,0,0
18,1,FAIR,DIVORCIADO,30680.57579,94963.68697,0,0
36,1,FAIR,SOLTERO,14587.19146,107690.6752,0,0
15,1,FAIR,SOLTERO,14972.47819,150690.7483,0,0
36,1,FAIR,SOLTERO,13523.52869,76504.53374,0,0
18,6,FAIR,CASADO,79982.01255,289789.9005,0,0
15,3,FAIR,SOLTERO,10841.61412,40426.35772,0,0
48,9,FAIR,CASADO,150206.9856,178056.9131,0,0
28,1,FAIR,SOLTERO,18262.24749,59352.30436,0,0
33,1,FAIR,SOLTERO,22481.950630000003,65402.0382,0,0
36,1,FAIR,CASADO,46752.77062,119779.8256,0,0
48,2,FAIR,CASADO,48115.27834,107307.4553,0,0
24,1,FAIR,SOLTERO,17822.95577,57185.95432999999,0,0
36,1,FAIR,SOLTERO,11084.95764,46575.452260000005,0,0
24,1,FAIR,SOLTERO,12518.31985,83455.46568,0,0
12,1,FAIR,SOLTERO,4533.765751,44430.90436,0,0
14,4,FAIR,SOLTERO,20947.32189,108492.1054,0,0
32,2,FAIR,CASADO,154700.0,160000.0,0,0
48,5,FAIR,SOLTERO,180679.3813,388938.0028,0,0
18,2,FAIR,SOLTERO,28013.02372,100460.4989,0,0
12,1,FAIR,SOLTERO,47481.79772,68530.4297,0,0
18,1,FAIR,SOLTERO,84711.59504,110253.7029,0,0
28,2,FAIR,SOLTERO,92134.30378,98103.05729,0,0
18,1,FAIR,SOLTERO,69257.69752,100602.9769,0,0
24,1,FAIR,SOLTERO,56122.64407,100460.4989,0,0
36,1,FAIR,SOLTERO,107690.6752,176221.1049,0,0
48,1,FAIR,CASADO,42959.97031,66296.25048,0,0
