PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,MORA>90,BUEN_SCORE
18,1,GOOD,SOLTERO,22306.1275,130572.4536,0,1
48,4,GOOD,SOLTERO,81159.60888,105732.663,0,1
48,2,GOOD,CASADO,372222.1682,244823.3506,0,1
20,1,GOOD,SOLTERO,17773.78057,80368.39907999999,0,1
24,1,GOOD,SOLTERO,18086.49851,32884.54275,0,1
48,1,GOOD,SOLTERO,62134.47814,93461.33202,0,1
14,1,GOOD,SOLTERO,30779.15872,77177.59201000001,0,1
9,1,GOOD,SOLTERO,29612.32522,37125.90027,0,1
48,1,GOOD,CASADO,62523.31007000001,150970.9194,0,1
48,1,GOOD,DIVORCIADO,56672.07189,76167.26462,0,1
48,2,GOOD,SOLTERO,20968.18325,175761.0306,0,1
24,1,GOOD,SOLTERO,15200.0,100000.0,0,1
48,1,GOOD,CASADO,366371.3474,560986.5872,0,1
24,1,GOOD,SOLTERO,45132.18299,199717.2523,0,1
48,1,GOOD,SOLTERO,46353.69457,110365.9395,0,1
42,1,GOOD,SOLTERO,38537.00889,72540.25202,0,1
47,1,GOOD,SOLTERO,30961.97777,44064.48588,0,1
36,3,GOOD,CASADO,87294.4171,141874.2917,0,1
48,1,GOOD,SOLTERO,168202.7094,0.0,0,1
24,2,GOOD,SOLTERO,29877.51022,53037.00039,0,1
24,1,GOOD,SOLTERO,14153.24181,91311.23747,0,1
30,7,GOOD,SOLTERO,141623.7293,196319.1606,0,1
48,1,GOOD,SOLTERO,37726.11633,232504.6577,0,1
30,1,GOOD,SOLTERO,33348.02382,70422.08382,0,1
48,1,GOOD,SOLTERO,47556.51035,98457.88751,0,1
39,1,GOOD,SOLTERO,47942.2018,96317.09494,0,1
48,1,GOOD,CASADO,53707.72822999999,69549.57613,0,1
24,1,GOOD,SOLTERO,48852.406310000006,71663.24934,0,1
18,1,GOOD,SOLTERO,60389.75981,49871.42327,0,1
24,1,GOOD,SOLTERO,21201.87625,69230.61631,0,1
24,1,GOOD,SOLTERO,34883.43214,66716.94672,0,1
36,1,GOOD,DIVORCIADO,100602.9769,115507.1216,0,1
24,2,GOOD,DIVORCIADO,36416.930830000005,139099.1523,0,1
36,4,GOOD,DIVORCIADO,52228.98146,130572.4536,0,1
36,1,GOOD,CASADO,29960.51218,65095.26323,0,1
48,1,GOOD,CASADO,45523.42533,74251.80054,0,1
14,3,GOOD,SOLTERO,276398.7793,277351.8785,0,1
48,2,GOOD,SOLTERO,74353.75832000001,77074.01777,0,1
24,1,GOOD,SOLTERO,27393.37124,127835.7325,0,1
24,2,GOOD,DIVORCIADO,26205.16604,68006.48627000001,0,1
36,1,GOOD,SOLTERO,38186.64028,53037.00039,0,1
48,8,GOOD,CASADO,268731.8344,92732.76817,0,1
25,1,GOOD,SOLTERO,33549.0972,90131.90293,0,1
