PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,MORA>90,BUEN_SCORE
47,5,VERY BAD,SOLTERO,29200.0,230000.0,0,0
36,1,VERY BAD,CASADO,129812.1163,150589.6797,0,0
26,1,VERY BAD,DIVORCIADO,57764.78684,77277.30681000001,0,0
36,3,VERY BAD,SOLTERO,19695.4899,123691.8494,0,0
24,1,VERY BAD,SOLTERO,28905.165210000003,63644.40046,0,0
24,1,VERY BAD,SOLTERO,87806.33986000001,135235.2869,0,0
48,4,VERY BAD,CASADO,67022.4483,98616.13647,0,0
24,1,VERY BAD,SOLTERO,72435.54215,102934.7178,0,0
34,1,VERY BAD,SOLTERO,49059.22536,79120.59717000001,0,0
24,1,VERY BAD,SOLTERO,161536.0129,234961.4732,0,0
24,1,VERY BAD,SOLTERO,42794.15582,114371.9087,0,0
12,2,VERY BAD,SOLTERO,47644.90535,106074.0008,0,0
48,3,VERY BAD,SOLTERO,44194.63894,146097.98,0,0
12,2,VERY BAD,CASADO,91128.6916,67190.40844,0,0
18,2,VERY BAD,CASADO,101409.759,99918.1587,0,0
48,1,VERY BAD,SOLTERO,107608.6497,102006.045,0,0
48,1,VERY BAD,CASADO,45337.657510000005,208553.2246,0,0
30,2,VERY BAD,SOLTERO,53160.03332,225563.0143,0,0
24,1,VERY BAD,SOLTERO,19990.34046,59711.40657000001,0,0
48,1,VERY BAD,CASADO,49090.52669,67068.65126,0,0
48,3,VERY BAD,SOLTERO,63644.40046,75135.75055,0,0
48,1,VERY BAD,DIVORCIADO,35169.36191,118946.785,0,0
31,1,VERY BAD,SOLTERO,28592.60352,55639.6609,0,0
32,1,VERY BAD,CASADO,109557.4503,112499.7515,0,0
12,1,VERY BAD,CASADO,47695.2157,74353.75832000001,0,0
48,4,VERY BAD,CASADO,228934.0214,81141.17215,0,0
11,2,VERY BAD,SOLTERO,12267.95346,55915.162,0,0
12,1,VERY BAD,SOLTERO,4419.750032,59224.65043,0,0
48,1,VERY BAD,DIVORCIADO,35552.02838,120175.8706,0,0
48,1,VERY BAD,CASADO,36599.01077,76247.93911,0,0
18,1,VERY BAD,CASADO,78162.41927,268762.757,0,0
48,2,VERY BAD,DIVORCIADO,235181.2232,136966.8562,0,0
48,12,VERY BAD,CASADO,141906.86800000002,87048.30243,0,0
48,2,VERY BAD,SOLTERO,109266.011,321370.6206,0,0
40,2,VERY BAD,DIVORCIADO,107548.0317,276.9224652,0,0
22,1,VERY BAD,CASADO,160327.2596,353730.6301,0,0
24,2,VERY BAD,SOLTERO,21927.43581,102392.4315,0,0
46,2,VERY BAD,CASADO,39808.25713,4590.050612,0,0
18,1,VERY BAD,SOLTERO,45065.63157,61659.21422,0,0
48,6,VERY BAD,CASADO,65163.3176,216345.676,0,0
3,6,VERY BAD,SOLTERO,48588.106660000005,193193.267,0,0
30,1,VERY BAD,SOLTERO,140162.7495,175317.5759,0,0
12,1,VERY BAD,CASADO,55565.68562,238274.8097,0,0
48,5,VERY BAD,SOLTERO,93759.02367,129807.4056,0,0
48,1,VERY BAD,SOLTERO,72859.32198,161613.5528,0,0
24,1,VERY BAD,SOLTERO,8653.827039,51922.962230000005,0,0
36,1,VERY BAD,SOLTERO,18135.06301,77074.01777,0,0
24,1,VERY BAD,SOLTERO,63382.0452,106090.1186,0,0
48,1,VERY BAD,SOLTERO,25787.7389,62090.86647000001,0,0
18,2,VERY BAD,SOLTERO,130753.8043,293788.0207,0,0
43,2,VERY BAD,SOLTERO,39943.45045,140976.884,0,0
36,4,VERY BAD,CASADO,12053.08335,131488.182,0,0
36,1,VERY BAD,SOLTERO,110509.3713,341480.015,0,0
18,1,VERY BAD,SOLTERO,95119.30404,237893.57,0,0
18,2,VERY BAD,SOLTERO,20545.02843,82910.60362000001,0,0
36,2,VERY BAD,SOLTERO,146263.5171,234961.4732,0,0
32,1,VERY BAD,SOLTERO,56586.55481,139997.8778,0,0
48,1,VERY BAD,SOLTERO,36027.15123,148683.4813,0,0
45,7,VERY BAD,SOLTERO,31915.60012,225171.4119,0,0
41,5,VERY BAD,SOLTERO,19266.67111,141326.9678,0,0
36,2,VERY BAD,SOLTERO,71577.75284,99122.32084,0,0
24,1,VERY BAD,CASADO,79984.80152000001,137060.8594,0,0
24,1,VERY BAD,CASADO,157397.0083,417277.3284,0,0
24,7,VERY BAD,CASADO,10957.3485,87658.78797,0,0
12,6,VERY BAD,CASADO,30838.69336,93984.5893,0,0
48,1,VERY BAD,DIVORCIADO,75008.9101,171557.863,0,0
48,1,VERY BAD,SOLTERO,39682.28533,65205.63317000001,0,0
36,2,VERY BAD,CASADO,93308.41548,160120.6721,0,0
48,10,VERY BAD,SOLTERO,62295.44138,155329.8407,0,0
48,3,VERY BAD,CASADO,176667.2557,137344.2802,0,0
36,1,VERY BAD,CASADO,126240.4898,321573.3001,0,0
48,6,VERY BAD,CASADO,184997.0427,291721.8332,0,0
36,11,VERY BAD,CASADO,26480.25887,146097.98,0,0
30,1,VERY BAD,SOLTERO,43961.44136,112499.7515,0,0
36,1,VERY BAD,SOLTERO,32701.0191,327010.191,0,0
18,5,VERY BAD,CASADO,164634.1612,350681.7206,0,0
48,2,VERY BAD,CASADO,78320.49107999999,416175.5095,0,0
12,1,VERY BAD,CASADO,46484.69438,100146.5588,0,0
20,4,VERY BAD,SOLTERO,126601.9414,233675.3039,0,0
18,5,VERY BAD,CASADO,296551.6649,627878.1178,0,0
48,2,VERY BAD,SOLTERO,53900.9215,153009.0675,0,0
48,1,VERY BAD,SOLTERO,81817.34857999999,99204.74262,0,0
6,2,VERY BAD,SOLTERO,20945.99777,129665.7005,0,0
10,6,VERY BAD,SOLTERO,63400.0,247000.0,0,0
48,1,VERY BAD,SOLTERO,47743.48788,74394.81845,0,0
10,5,VERY BAD,CASADO,39263.83211,118704.6087,0,0
18,1,VERY BAD,SOLTERO,103687.3358,78494.76057,0,0
6,3,VERY BAD,SOLTERO,24573.81018,88483.39564,0,0
24,1,VERY BAD,SOLTERO,139715.1041,245257.6432,0,0
24,1,VERY BAD,CASADO,72957.67874,201797.8348,0,0
12,2,VERY BAD,SOLTERO,58075.51542,195352.9514,0,0
24,2,VERY BAD,SOLTERO,23279.78868,77856.88661,0,0
26,1,VERY BAD,SOLTERO,32324.17806,127835.7325,0,0
22,2,VERY BAD,SOLTERO,35092.81526,123753.0009,0,0
30,1,VERY BAD,SOLTERO,23827.48097,57185.95432999999,0,0
36,1,VERY BAD,SOLTERO,74520.72362,260822.5327,0,0
13,1,VERY BAD,SOLTERO,16350.50955,130804.0764,0,0
12,2,VERY BAD,SOLTERO,23117.16399,157313.5528,0,0
24,1,VERY BAD,CASADO,12364.36909,67617.64346,0,0
14,1,VERY BAD,SOLTERO,7434.174062999999,40030.16803,0,0
24,1,VERY BAD,SOLTERO,58326.79424,199038.0219,0,0
12,1,VERY BAD,SOLTERO,18836.34354,150690.7483,0,0
36,1,VERY BAD,SOLTERO,40894.56708,145080.50400000002,0,0
36,1,VERY BAD,SOLTERO,33413.31024,61522.92045,0,0
13,2,VERY BAD,SOLTERO,34874.92297,87749.80617000001,0,0
48,1,VERY BAD,SOLTERO,9149.752693,47654.96194,0,0
17,2,VERY BAD,SOLTERO,48100.0,62000.0,0,0
19,1,VERY BAD,CASADO,55247.51828,103067.5001,0,0
48,2,VERY BAD,DIVORCIADO,69480.93451,193479.1455,0,0
30,8,VERY BAD,DIVORCIADO,179222.3403,121096.1759,0,0
40,4,VERY BAD,CASADO,67747.22479,244751.5346,0,0
12,6,VERY BAD,CASADO,5440.518902000001,226688.2876,0,0
25,7,VERY BAD,CASADO,69326.16049,204381.3694,0,0
36,1,VERY BAD,SOLTERO,13082.4601,50915.52037,0,0
46,1,VERY BAD,SOLTERO,12518.31985,154811.5579,0,0
28,1,VERY BAD,SOLTERO,12575.37211,50301.48845,0,0
36,1,VERY BAD,SOLTERO,228592.6773,585263.4061,0,0
48,1,VERY BAD,CASADO,26400.84892,71482.44291,0,0
48,2,VERY BAD,CASADO,29308.16789,68483.4281,0,0
24,1,VERY BAD,SOLTERO,74231.31335,261608.1528,0,0
24,2,VERY BAD,CASADO,24953.18424,90131.90293,0,0
29,2,VERY BAD,SOLTERO,9281.475067,84859.20062,0,0
12,1,VERY BAD,SOLTERO,6986.317840000001,55890.542720000005,0,0
36,1,VERY BAD,CASADO,100400.0,228000.0,0,0
17,1,VERY BAD,SOLTERO,10000.0,130000.0,0,0
45,1,VERY BAD,SOLTERO,10881.0378,50778.17642,0,0
5,1,VERY BAD,CASADO,53307.57456,110076.6799,0,0
35,3,VERY BAD,CASADO,9347.012156,98811.27136,0,0
24,1,VERY BAD,SOLTERO,32451.8514,56249.87575,0,0
48,1,VERY BAD,SOLTERO,24317.25398,47596.04871,0,0
12,1,VERY BAD,SOLTERO,40759.52535,78749.82605,0,0
12,1,VERY BAD,SOLTERO,22306.1275,82514.53667,0,0
30,2,VERY BAD,SOLTERO,48234.00317,196206.1146,0,0
42,1,VERY BAD,SOLTERO,19747.99176,156783.2189,0,0
36,2,VERY BAD,SOLTERO,57567.19403,95309.92388,0,0
42,1,VERY BAD,CASADO,14780.07635,115520.3513,0,0
48,1,VERY BAD,SOLTERO,9692.286284,138461.2326,0,0
23,1,VERY BAD,SOLTERO,13770.15184,48300.68532,0,0
13,1,VERY BAD,SOLTERO,16618.64522,92589.59479,0,0
18,2,VERY BAD,SOLTERO,24308.625180000003,89632.53065,0,0
18,1,VERY BAD,SOLTERO,19041.81616,170922.9688,0,0
12,5,VERY BAD,SOLTERO,75523.78647,86365.40059,0,0
12,1,VERY BAD,SOLTERO,12241.16753,54405.189020000005,0,0
10,3,VERY BAD,SOLTERO,3812.396955,74341.74063,0,0
24,1,VERY BAD,SOLTERO,193495.2486,275634.2572,0,0
24,3,VERY BAD,SOLTERO,121095.317,238883.0229,0,0
12,3,VERY BAD,SOLTERO,160200.0,300000.0,0,0
18,2,VERY BAD,SOLTERO,25567.14649,189927.3739,0,0
12,1,VERY BAD,SOLTERO,24118.62958,125183.1985,0,0
24,1,VERY BAD,DIVORCIADO,153353.6675,381239.6955,0,0
24,1,VERY BAD,SOLTERO,25201.90154,87658.78797,0,0
24,2,VERY BAD,SOLTERO,166182.6012,167950.5012,0,0
48,2,VERY BAD,SOLTERO,196243.1333,320241.3443,0,0
16,1,VERY BAD,SOLTERO,65854.27548,79555.50057999999,0,0
10,2,VERY BAD,CASADO,79679.09637,190619.8478,0,0
10,7,VERY BAD,CASADO,82910.60362000001,123270.1706,0,0
48,2,VERY BAD,SOLTERO,46502.791580000005,76362.47881,0,0
40,1,VERY BAD,CASADO,107801.843,79982.01255,0,0
24,4,VERY BAD,SOLTERO,56978.21218,100442.3612,0,0
30,3,VERY BAD,SOLTERO,93386.66609,106322.2633,0,0
6,1,VERY BAD,SOLTERO,57240.04741,82690.27716,0,0
46,1,VERY BAD,SOLTERO,22969.52143,91878.08573,0,0
10,3,VERY BAD,SOLTERO,13600.03206,117370.1397,0,0
12,5,VERY BAD,CASADO,24498.68789,270137.6231,0,0
24,2,VERY BAD,SOLTERO,17502.21013,137896.201,0,0
31,5,VERY BAD,SOLTERO,42254.6968,136012.9725,0,0
46,5,VERY BAD,SOLTERO,40701.99198,148842.4989,0,0
24,1,VERY BAD,SOLTERO,34819.32097,95209.08078,0,0
10,1,VERY BAD,CASADO,14682.68829,150690.7483,0,0
24,1,VERY BAD,SOLTERO,17953.71238,141453.4914,0,0
20,1,VERY BAD,SOLTERO,17915.81234,78320.49107999999,0,0
12,2,VERY BAD,SOLTERO,59896.031610000005,93150.90453,0,0
