ID, DESCRIPCION, MARCA, PRECIO REG, PRECIO PROMO, DESC PROMO, PRECIO/LT, TIPO PRODUCTO
1,Cerveza negra Quilmes bock 1 l.,Quilmes,,Null,Null,($131,00 x 1 L.),Cerveza negra
2,Cerveza negra Schneider 473 cc.,Schneider,,Null,Null,($165,96 x 1 L.),Cerveza negra
3,Cerveza negra Andes Origen 1 l.,Andes,$201,50,$161,20,Por unidad Llevando 2 ,($201,50 x 1 L.),Cerveza negra
4,Cerveza negra Quilmes stout 1 l.,Quilmes,,Null,Null,($131,00 x 1 L.),Cerveza negra
5,Cerveza negra Stella Artois 975 cc.,Stella Artois,,Null,Null,($225,33 x 1 L.),Cerveza negra
6,Cerveza negra Stella Artois noire 473 cc. 6 u.,Stella Artois,,Null,Null,($243,83 x 1 L.),Cerveza negra
7,Cerveza blanca Grolsch retornable 473 cc.,Grolsch,,Null,Null,($287,53 x 1 L.),Cerveza rubia
8,Cerveza rubia Corona 710 cc.,Corona,,Null,Null,($276,06 x 1 L.),Cerveza rubia
9,Cerveza rubia Rabieta american Ipa 710 cc.,Rabieta,,Null,Null,($301,41 x 1 L.),Cerveza rubia
10,Cerveza rubia Imperial Apa 473 cc.,Imperial,,Null,Null,($287,53 x 1 L.),Cerveza rubia
11,Cerveza rubia Rabieta golden ale 710 cc.,Rabieta,,Null,Null,($301,41 x 1 L.),Cerveza rubia
12,Cerveza negra Mecklenburger premium dunkel 500 cc.,Mecklenburger,,Null,Null,($194,00 x 1 L.),Cerveza rubia
13,Cerveza rubia Patagonia bohemian 6 u. x 473 cc.,Patagonia,,Null,Null,($308,32 x 1 L.),Cerveza rubia
14,Cerveza rubia Imperial Apa 1 l.,Imperial,,Null,Null,($197,50 x 1 L.),Cerveza rubia
15,Cerveza rubia Corona 330 cc.,Corona,,Null,Null,($345,45 x 1 L.),Cerveza rubia
16,Cerveza rubia Andes origen ipa 340 cc.,Andes,$59,50,$47,60,Por unidad Llevando 2 ,($175,00 x 1 L.),Cerveza rubia
17,Cerveza rubia Rabieta golden ale 473 cc.,Rabieta,,Null,Null,($333,72 x 1 L.),Cerveza rubia
18,Cerveza rubia Rabieta ipa 473 cc.,Rabieta,,Null,Null,($333,72 x 1 L.),Cerveza rubia
19,Cerveza rubia Heineken 710 cc.,Heineken,,Null,Null,($247,89 x 1 L.),Cerveza rubia
20,Cerveza rubia Budweiser 710 cc.,Budweiser,$146,00,$116,80,Por unidad Llevando 2 ,($205,63 x 1 L.),Cerveza rubia
21,Cerveza rubia Imperial golden 473 cc.,Imperial,,Null,Null,($210,36 x 1 L.),Cerveza rubia
22,Cerveza rubia Quilmes 6 x 473 cc.,Quilmes,,Null,Null,($145,35 x 1 L.),Cerveza rubia
23,Cerveza rubia Quilmes clásica 1 l.,Quilmes,,Null,Null,($120,00 x 1 L.),Cerveza rubia
24,Cerveza rubia Temple roja 473 cc. 6 u.,Temple,,Null,Null,($305,85 x 1 L.),Cerveza rubia
25,Cerveza rubia Grolsch retornable 925 cc.,Grolsch,,Null,Null,($204,43 x 1 L.),Cerveza rubia
26,Cerveza rubia Patagonia 24.7 IPA con sauco 730 cc.,Patagonia,,Null,Null,($314,38 x 1 L.),Cerveza rubia
27,Cerveza rubia Patagonia kune 730 cc.,Patagonia,,Null,Null,($314,38 x 1 L.),Cerveza rubia
28,Cerveza rubia Mecklenburger pilsener 330 cc.,Mecklenburger,,Null,Null,($196,97 x 1 L.),Cerveza rubia
29,Cerveza rubia Warsteiner 473 cc.,Warsteiner,,Null,Null,($215,64 x 1 L.),Cerveza rubia
30,Cerveza rubia Budweiser 1 l.,Budweiser,$156,50,$125,20,Por unidad Llevando 2 ,($156,50 x 1 L.),Cerveza rubia
31,Cerveza rubia Brahma 6 x 473 cc.,Brahma,,Null,Null,($153,28 x 1 L.),Cerveza rubia
32,Cerveza rubia Brahma 1 l.,Brahma,$144,00,$115,20,Por unidad Llevando 2 ,($144,00 x 1 L.),Cerveza rubia
33,Cerveza rubia Brahma 473 cc.,Brahma,,Null,Null,($183,93 x 1 L.),Cerveza rubia
34,Cerveza rubia Brahma 340 cc.,Brahma,,Null,Null,($114,71 x 1 L.),Cerveza rubia
35,Cerveza rubia Stella Artois 975 cc.,Stella Artois,,Null,Null,($225,33 x 1 L.),Cerveza rubia
36,Cerveza roja Rabieta Irish molly otoole 710 cc.,Rabieta,,Null,Null,($301,41 x 1 L.),Cerveza roja
